Using cpu device
Logging to runs/pponew/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 75           |
|    ep_rew_mean          | 2            |
| time/                   |              |
|    fps                  | 756          |
|    iterations           | 48           |
|    time_elapsed         | 129          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0045709712 |
|    clip_fraction        | 0.0404       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.986       |
|    explained_variance   | 0.294        |
|    learning_rate        | 0.0003       |
|    loss                 | 28.4         |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.00307     |
|    value_loss           | 35.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 74.2         |
|    ep_rew_mean          | 1            |
| time/                   |              |
|    fps                  | 757          |
|    iterations           | 49           |
|    time_elapsed         | 132          |
|    total_timesteps      | 100352       |
| train/                  |              |
|    approx_kl            | 0.0148872975 |
|    clip_fraction        | 0.139        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.9         |
|    explained_variance   | -0.452       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.304        |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.00871     |
|    value_loss           | 0.734        |
------------------------------------------
